Ward,Tulsi Gabbard,Amy Klobuchar,John Delaney,Deval Patrick,Bernie Sanders,Andrew Yang,Pete Buttigieg,Tom Steyer,Elizabeth Warren,Michael Bennet,Michael R Bloomberg,Joe Biden,Uninstructed Delegation,Write In ,Over Votes,Under Votes 
103,0,1,0,0,88,2,1,0,3,1,2,301,4,2,0,9
104,0,2,0,0,58,1,0,1,1,1,4,227,0,1,0,7
105,0,1,0,1,23,1,0,0,1,1,1,69,0,1,0,0
106,1,0,0,0,24,0,0,0,0,1,3,56,0,0,0,4
107,0,1,1,0,24,0,0,0,1,0,3,121,0,0,0,2
108,0,2,1,0,24,0,0,0,4,0,4,123,1,0,0,6
109,0,0,1,0,24,0,0,0,2,0,1,120,1,0,0,2
110,0,0,0,0,26,0,0,0,0,0,0,60,0,0,0,1
111,0,0,0,0,20,0,0,0,0,0,3,73,0,0,0,2
112,0,0,0,0,36,0,0,0,0,1,1,76,0,0,0,6
113,0,0,0,0,25,0,0,0,0,1,0,100,0,1,0,5
114,0,0,0,0,29,0,0,0,0,0,4,108,0,0,0,2
115,0,0,1,0,57,1,0,1,1,0,2,177,0,0,0,2
116,0,0,0,0,24,0,0,1,1,2,2,55,0,0,0,3
117,0,1,0,0,19,0,0,1,2,1,1,76,0,1,0,0
118,0,0,0,0,29,0,0,0,0,0,2,108,0,0,0,2
119,0,0,0,1,45,0,0,0,2,2,1,124,2,0,0,2
120,0,1,0,0,38,0,1,0,1,0,1,60,2,1,0,1
121,0,1,0,0,40,1,0,0,2,1,1,114,0,0,0,2
122,0,2,0,0,62,0,0,0,0,0,3,111,0,0,0,3
123,0,1,0,0,239,1,1,0,4,0,0,82,1,0,0,2
124,1,0,0,0,112,2,0,0,3,0,2,101,2,0,0,0
125,2,0,0,1,476,5,1,0,23,0,1,169,1,0,0,2
126,0,2,0,1,298,2,1,0,12,1,0,176,3,0,0,4
127,1,0,0,0,339,1,0,0,10,0,2,200,3,1,0,1
128,0,3,0,0,377,1,1,0,10,0,1,170,3,3,0,5
129,1,1,0,0,230,0,2,0,15,1,0,222,1,0,0,2
130,0,0,0,0,65,0,0,0,0,0,0,42,0,0,0,0
131,6,1,0,0,170,2,5,0,10,0,3,359,1,2,0,4
132,6,7,0,0,232,4,4,1,22,0,8,543,1,2,0,10
133,0,3,0,0,278,1,0,0,9,0,2,90,1,0,0,2
134,0,1,0,0,273,0,2,0,11,0,0,116,3,1,0,0
135,2,2,0,0,349,3,2,0,7,0,0,159,2,0,0,0
